first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Jacare,Souza,Jacare Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0
Edimilson,Souza,Edimilson Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0
Livinha,Souza,Livinha Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0
Bruno,Souza,Bruno Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,3,0
Ketlen,Souza,Ketlen Souza,Esquentadinha,"5' 3""",115 lbs.,"63.0""",Orthodox,15,6,0
Heraldo,Souza,Heraldo Souza,Savage,"5' 11""",185 lbs.,"73.0""",Orthodox,9,2,1
Charon,Spain,Charon Spain,,"5' 9""",155 lbs.,--,,14,26,0
Chris,Spang,Chris Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0
Andreas,Spang,Andreas Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0
Ryan,Spann,Ryan Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,23,11,0
Ron,Sparks,Ron Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0
Tommy,Speer,Tommy Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0
Patrick,Speight,Patrick Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0
Sean,Spencer,Sean Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0
Felicia,Spencer,Felicia Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0
Sam,Spengler,Sam Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0
Nick,Sperling,Nick Sperling,,--,135 lbs.,--,,3,4,0
Mario,Sperry,Mario Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0
Eric,Spicely,Eric Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0
